time,name,temp,pressure,humidity,differential,area1,area2,area3,area4,area5,area6,lux,gps_status,longitude,latitude,co2
"2021-05-21 00:03:25",37,28.49,1004.77,35.639,6,190.787,6.54667,1.09667,0.78,0.153333,1.60667,3.55687,1,139.612,35.7807,0
"2021-05-21 00:08:25",37,28.49,1004.77,35.748,6,189.497,6.72333,1.10333,0.72,0.14,1.54667,3.83018,1,139.612,35.7807,0
"2021-05-21 00:13:25",37,28.48,1004.64,35.699,7,190.48,6.79333,1.18667,0.83,0.16,1.54333,3.61153,1,139.612,35.7807,0
"2021-05-21 00:18:25",37,28.48,1004.69,35.699,7,190.877,6.54,1.09,0.786667,0.166667,1.54667,3.70264,1,139.612,35.7807,0
"2021-05-21 00:23:25",37,28.48,1004.75,35.674,6,191.13,6.28667,1.01667,0.773333,0.11,1.50333,3.72085,1,139.612,35.7807,0
"2021-05-21 00:28:25",37,28.47,1004.58,35.686,7,190.793,6.56,1.07333,0.66,0.136667,1.62667,3.72085,1,139.612,35.7806,0
"2021-05-21 00:33:25",37,28.47,1004.64,35.613,7,190.657,6.46667,1.04667,0.733333,0.133333,1.67667,3.57509,1,139.612,35.7808,0
"2021-05-21 00:38:25",37,28.45,1004.5,35.672,7,189.607,6.64667,1.00667,0.83,0.133333,1.57667,3.52043,1,139.612,35.7809,0
"2021-05-21 00:43:25",37,28.46,1004.52,35.649,7,190.773,6.55333,1.05,0.726667,0.14,1.64333,1.60732,1,139.611,35.7807,0
"2021-05-21 00:48:25",37,28.48,1004.47,35.65,6,191.533,6.52,1,0.833333,0.166667,1.73667,1.89885,1,139.612,35.7806,0
"2021-05-21 00:53:25",37,28.46,1004.44,35.661,6,191.673,6.49,1.10333,0.756667,0.136667,1.73333,1.84419,1,139.612,35.7808,0
"2021-05-21 00:58:25",37,28.45,1004.47,35.648,7,192.027,6.52667,1.17667,0.773333,0.183333,1.59667,1.53444,1,139.612,35.7804,0
"2021-05-21 01:03:25",37,28.41,1004.3,35.657,7,190.11,6.48667,1.08667,0.746667,0.193333,1.69,1.80775,1,139.612,35.7806,0
"2021-05-21 01:08:25",37,28.4,1004.08,35.657,6,193.683,6.68,1.10333,0.77,0.15,1.60667,1.66198,1,139.612,35.7805,0
"2021-05-21 01:13:25",37,28.41,1004.16,35.657,6,190.79,6.59667,1.15,0.873333,0.176667,1.52667,1.51622,1,139.612,35.7811,0
"2021-05-21 01:18:25",37,28.38,1003.94,35.643,7,190.97,6.64,1.06667,0.816667,0.133333,1.56,1.62554,1,139.612,35.7809,0
"2021-05-21 01:23:25",37,28.37,1003.86,35.654,9,190.99,6.45667,1.12667,0.77,0.15,1.64667,1.5891,1,139.612,35.7805,0
"2021-05-21 01:28:25",37,28.36,1003.76,35.653,8,191.39,6.55667,0.996667,0.826667,0.16,1.71667,1.498,1,139.612,35.7808,0
"2021-05-21 01:33:25",37,28.36,1003.62,35.484,7,190.51,6.37,0.996667,0.81,0.103333,1.6,1.62554,1,139.612,35.7807,0
"2021-05-21 01:38:25",37,28.33,1003.4,35.662,9,191.783,6.56667,1.09667,0.716667,0.146667,1.52667,1.47978,1,139.612,35.781,0
"2021-05-21 01:43:25",37,28.33,1003.26,35.663,6,191.453,6.53,0.936667,0.766667,0.13,1.58667,1.55266,1,139.612,35.7811,0
"2021-05-21 01:48:25",37,28.33,1003.04,35.638,6,190.25,6.51,1.02333,0.816667,0.17,1.61,1.80775,1,139.612,35.7809,0
"2021-05-21 01:53:25",37,28.3,1002.73,35.661,6,191.73,6.42333,1.06667,0.69,0.126667,1.50667,1.66198,1,139.612,35.78,0
"2021-05-21 01:58:25",37,28.31,1002.48,35.649,7,193.143,6.72667,1.07333,0.78,0.11,1.61,1.78953,1,139.612,35.7807,0
"2021-05-21 02:03:25",37,28.29,1002.46,35.648,6,191.027,6.54333,1.08333,0.636667,0.153333,1.54,1.51622,1,139.611,35.781,0
"2021-05-21 02:08:25",37,28.26,1002.68,35.645,10,190.36,6.65333,1.07667,0.733333,0.103333,1.68667,1.44334,1,139.612,35.7806,0
"2021-05-21 02:13:25",37,28.26,1002.87,35.948,6,191.37,6.73333,1.00667,0.62,0.163333,1.63667,1.53444,1,139.612,35.7808,0
"2021-05-21 02:18:25",37,28.25,1002.98,35.657,6,192.843,6.56667,1.09667,0.73,0.146667,1.56333,1.38868,1,139.611,35.7811,0
"2021-05-21 02:23:25",37,28.24,1002.98,35.668,7,191.78,6.83667,1.07333,0.696667,0.17,1.64333,1.5891,1,139.612,35.7809,0
"2021-05-21 02:28:25",37,28.25,1002.9,35.645,7,191.187,6.84333,1.10333,0.736667,0.12,1.82,1.35224,1,139.612,35.7808,0
"2021-05-21 02:33:25",37,28.24,1002.85,35.667,6,191.927,6.55333,1.04,0.74,0.116667,1.61,1.5891,1,139.611,35.7808,0
"2021-05-21 02:38:25",37,28.23,1002.79,35.655,6,192,6.63333,1.16667,0.73,0.156667,1.61333,1.64376,1,139.612,35.7807,0
"2021-05-21 02:43:25",37,28.23,1002.79,35.655,9,190.903,6.48667,1.08,0.806667,0.133333,1.50667,1.73486,1,139.612,35.7812,0
"2021-05-21 02:48:24",37,28.22,1002.62,35.643,7,190.353,6.49,1.08,0.753333,0.14,1.54667,1.60732,1,139.612,35.7806,0
"2021-05-21 02:53:24",37,28.22,1002.57,35.642,6,190.967,6.6,1.03,0.743333,0.153333,1.56,1.75308,1,139.612,35.7803,0
"2021-05-21 02:58:24",37,28.22,1002.18,35.642,6,191.233,6.86,1.07333,0.72,0.123333,1.54,1.73486,1,139.612,35.7805,0
"2021-05-21 03:03:25",37,28.2,1002.21,35.64,8,190.803,6.42667,1.09,0.786667,0.13,1.56333,1.3158,1,139.612,35.7808,0
"2021-05-21 03:08:24",37,28.2,1002.43,35.652,8,192.49,6.7,1.01,0.816667,0.16,1.51667,1.93529,1,139.612,35.781,0
"2021-05-21 03:13:24",37,28.19,1002.04,35.628,8,191.263,6.63667,1.09667,0.746667,0.15,1.63333,1.69842,1,139.612,35.7808,0
"2021-05-21 03:18:24",37,28.19,1002.09,35.761,6,191.93,6.68667,1.16667,0.833333,0.176667,1.62333,1.53444,0,139.612,35.7806,0
"2021-05-21 03:23:24",37,28.19,1002.01,35.555,8,192.443,6.83667,0.996667,0.746667,0.15,1.65333,1.55266,1,139.633,35.7775,0
"2021-05-21 03:28:24",37,28.18,1001.98,35.627,7,191.03,6.67,1.07,0.826667,0.166667,1.44667,1.55266,0,139.664,35.7326,0
"2021-05-21 03:33:25",37,28.17,1002.01,35.638,8,190.873,6.46,1.13667,0.736667,0.153333,1.68,1.47978,0,139.716,35.6624,0
"2021-05-21 03:38:25",37,28.16,1001.83,35.625,7,192.52,6.34,1.10667,0.79,0.166667,1.59667,1.498,0,139.716,35.6624,0
"2021-05-21 03:43:25",37,28.16,1001.82,35.625,6,191.83,6.70667,1.03667,0.733333,0.12,1.60333,1.64376,0,139.716,35.6624,0
"2021-05-21 03:48:25",37,28.15,1001.82,35.649,6,193.773,6.78667,1.10667,0.736667,0.173333,1.62,1.55266,0,139.612,35.7793,0
"2021-05-21 03:53:25",37,28.15,1001.72,35.637,8,191.77,6.51333,1.12333,0.813333,0.126667,1.58333,1.38868,1,139.612,35.7805,0
"2021-05-21 03:58:24",37,28.15,1001.64,35.625,8,191.957,6.85667,1.12333,0.783333,0.146667,1.58667,1.27936,1,139.613,35.7804,0
"2021-05-21 04:03:24",37,28.15,1001.58,35.637,6,189.857,6.38,1.05667,0.863333,0.143333,1.64667,1.62554,1,139.612,35.7807,0
"2021-05-21 04:08:24",37,28.13,1001.58,35.672,7,190.773,6.84667,1.14,0.746667,0.143333,1.60333,1.46156,1,139.612,35.7806,0
"2021-05-21 04:13:24",37,28.13,1001.56,35.647,10,191.72,6.76667,1.08333,0.82,0.153333,1.73667,1.47978,1,139.612,35.7807,0
"2021-05-21 04:18:24",37,28.11,1001.56,35.695,7,190.817,6.67667,1.03333,0.813333,0.143333,1.65,1.53444,1,139.612,35.7807,0
"2021-05-21 04:23:24",37,28.1,1001.64,35.681,6,190.57,6.77667,1.05333,0.783333,0.163333,1.57,1.44334,1,139.612,35.7807,0
"2021-05-21 04:28:24",37,28.11,1001.58,35.658,7,190.613,6.74333,1.07,0.803333,0.126667,1.72,1.38868,1,139.612,35.7807,0
"2021-05-21 04:33:24",37,28.1,1001.64,35.645,7,192.383,6.61,1.07667,0.753333,0.16,1.70333,1.51622,1,139.612,35.7803,0
"2021-05-21 04:38:24",37,28.11,1001.64,35.633,6,191.123,6.64333,1.11,0.756667,0.143333,1.59,1.53444,1,139.611,35.7596,0
"2021-05-21 04:43:24",37,28.1,1001.75,35.645,7,191.21,6.67,1.05333,0.753333,0.13,1.52,1.498,1,139.612,35.7844,0
"2021-05-21 04:48:24",37,28.1,1001.86,35.645,8,191.417,6.59333,1.09667,0.773333,0.13,1.69,1.51622,1,139.612,35.7807,0
"2021-05-21 04:53:24",37,28.1,1001.72,35.62,7,192.123,6.53667,1.11667,0.776667,0.14,1.53,1.44334,1,139.612,35.7807,0
"2021-05-21 04:58:24",37,28.11,1002.01,35.646,6,190.68,6.84333,1.08667,0.706667,0.153333,1.71333,1.33402,1,139.612,35.7808,0
"2021-05-21 05:03:24",37,28.1,1001.83,35.633,7,192.123,6.59,1.09667,0.676667,0.133333,1.62,1.53444,1,139.612,35.7809,0
"2021-05-21 05:08:24",37,28.09,1001.92,35.644,6,190.713,6.58,1.12,0.773333,0.16,1.57,1.44334,1,139.612,35.7808,0
"2021-05-21 05:13:24",37,28.1,1001.53,35.657,7,192.63,6.33667,1.14667,0.73,0.143333,1.50667,1.57088,1,139.612,35.7808,0
"2021-05-21 05:18:24",37,28.09,1001.14,35.632,6,191.227,6.48667,0.996667,0.753333,0.176667,1.59,1.84419,1,139.612,35.7808,0
"2021-05-21 05:23:24",37,28.1,1001.36,35.693,6,192.43,6.41333,1.04333,0.716667,0.156667,1.63,1.71665,1,139.612,35.7808,0
"2021-05-21 05:28:24",37,28.1,1001.39,35.633,6,191.397,6.34333,0.973333,0.75,0.156667,1.58333,1.71664,1,139.612,35.7808,0
"2021-05-21 05:33:24",37,28.09,1001.33,35.62,8,191.173,6.49667,1.14667,0.726667,0.143333,1.43667,1.60732,1,139.612,35.7808,0
"2021-05-21 05:38:24",37,28.09,1001.25,35.305,8,190.473,6.71,1.06333,0.756667,0.143333,1.59667,1.78953,1,139.612,35.7808,0
"2021-05-21 05:43:24",37,28.09,1001.06,35.608,6,190.903,6.49333,1.10333,0.77,0.15,1.63,1.53444,1,139.612,35.7806,0
"2021-05-21 05:48:24",37,28.09,1000.92,35.56,6,192.057,6.57333,1.06333,0.763333,0.15,1.72667,1.86241,1,139.612,35.7809,0
"2021-05-21 05:53:24",37,28.09,1000.92,35.511,6,191.773,6.74667,1.1,0.716667,0.136667,1.60333,1.69842,1,139.612,35.7808,0
"2021-05-21 05:58:24",37,28.1,1001.2,35.62,7,190.683,6.6,1.17,0.726667,0.14,1.58,1.73486,1,139.612,35.7808,0
"2021-05-21 06:03:24",37,28.08,1000.89,35.618,7,191.147,6.75667,1.09333,0.726667,0.133333,1.65667,1.97173,1,139.612,35.7808,0
"2021-05-21 06:08:24",37,28.08,1000.95,35.655,7,190.853,6.66333,1.10667,0.71,0.13,1.61667,1.6802,1,139.612,35.7808,0
"2021-05-21 06:13:24",37,28.08,1000.78,35.618,6,191.183,6.66333,1.11667,0.71,0.16,1.64,1.77131,1,139.612,35.7808,0
"2021-05-21 06:18:24",37,28.07,1000.78,35.655,6,192.227,6.54,1.25333,0.646667,0.14,1.58,2.04461,1,139.612,35.7808,0
"2021-05-21 06:23:24",37,28.07,1000.81,35.63,7,192.33,6.66333,1.10333,0.806667,0.146667,1.69333,2.11749,1,139.612,35.7809,0
"2021-05-21 06:28:24",37,28.07,1000.86,35.606,8,191.433,6.65333,1.04333,0.823333,0.113333,1.69,1.66198,1,139.612,35.7809,0
"2021-05-21 06:33:24",37,28.08,1000.72,35.618,6,192.03,6.42,1.13333,0.793333,0.12,1.66,1.95351,1,139.612,35.7807,0
"2021-05-21 06:38:24",37,28.07,1000.14,35.594,8,191.157,6.48333,1.18,0.72,0.09,1.6,1.89885,1,139.612,35.7804,0
"2021-05-21 06:43:24",37,28.08,1000.03,35.558,7,191.74,6.50667,1.07333,0.753333,0.113333,1.69667,1.95351,1,139.612,35.7807,0
"2021-05-21 06:48:24",37,28.08,999.88,35.352,7,192.843,6.52,1.03333,0.733333,0.14,1.66,2.08105,1,139.612,35.7808,0
"2021-05-21 06:53:24",37,28.09,999.97,35.39,8,191.567,6.89667,0.996667,0.706667,0.183333,1.67333,2.08105,1,139.612,35.7807,0
"2021-05-21 06:58:24",37,28.09,999.97,35.547,8,192.047,6.67667,1.06333,0.756667,0.143333,1.60333,2.13571,1,139.612,35.7808,0
"2021-05-21 07:03:24",37,28.09,999.97,35.608,6,192.803,6.55667,1.03667,0.726667,0.123333,1.62333,2.17215,1,139.611,35.781,0
"2021-05-21 07:08:24",37,28.08,999.99,35.571,7,191.197,6.57333,1.11667,0.786667,0.11,1.54,1.86241,1,139.612,35.7808,0
"2021-05-21 07:13:24",37,28.09,999.71,35.608,6,189.767,6.79,1.11667,0.816667,0.143333,1.57333,2.82807,1,139.612,35.7807,0
"2021-05-21 07:18:24",37,28.1,999.77,35.584,6,191.14,6.56,1.10333,0.816667,0.146667,1.64667,3.08315,1,139.612,35.7799,0
"2021-05-21 07:23:24",37,28.09,999.99,35.583,7,190.677,6.51,1,0.73,0.14,1.63,2.97383,1,139.612,35.7807,0
"2021-05-21 07:28:24",37,28.1,999.69,35.596,6,192.283,6.50667,1.06333,0.723333,0.14,1.70667,3.22891,1,139.612,35.7807,0
"2021-05-21 07:33:24",37,28.12,1000.11,35.586,7,191.993,6.50667,1.06333,0.8,0.156667,1.68333,2.82807,1,139.612,35.7807,0
"2021-05-21 07:38:24",37,28.12,1000.28,35.561,6,191.143,6.69333,0.98,0.846667,0.166667,1.61,2.64587,1,139.612,35.7806,0
"2021-05-21 07:43:24",37,28.14,1000.31,35.587,8,190.963,6.5,1.13667,0.816667,0.166667,1.49,2.80985,1,139.612,35.7808,0
"2021-05-21 07:48:24",37,28.14,1000.03,35.697,6,190.843,6.33667,1.04,0.733333,0.126667,1.48667,2.40901,1,139.612,35.7809,0
"2021-05-21 07:53:24",37,28.14,1000.39,35.417,7,190.827,6.63333,1.13333,0.803333,0.156667,1.66667,2.60943,1,139.611,35.7809,0
"2021-05-21 07:58:24",37,28.13,1000.47,35.601,7,192.167,6.38,0.99,0.833333,0.15,1.58333,2.64587,1,139.611,35.7809,0
"2021-05-21 08:03:24",37,28.15,1000.25,35.576,8,192.087,6.81333,1.14667,0.766667,0.15,1.61667,2.97383,1,139.612,35.7808,0
"2021-05-21 08:08:24",37,28.16,1000.22,35.577,7,192.423,6.47333,1.09333,0.83,0.156667,1.69333,3.95772,1,139.612,35.7808,0
"2021-05-21 08:13:24",37,28.18,1000.11,35.566,8,191.193,6.52,1.16333,0.753333,0.14,1.65333,4.77762,1,139.612,35.7815,0
"2021-05-21 08:18:24",37,28.2,1000.14,35.556,7,192.177,6.63667,1.08667,0.746667,0.146667,1.65333,4.23102,1,139.612,35.7808,0
"2021-05-21 08:23:24",37,28.21,1000.28,35.629,7,192.033,6.44333,1.08333,0.833333,0.153333,1.57667,3.04671,1,139.612,35.7809,0
"2021-05-21 08:28:24",37,28.2,1000.2,35.544,7,192.217,6.61667,1.15,0.683333,0.143333,1.56,3.9395,1,139.611,35.7829,0
"2021-05-21 08:33:24",37,28.23,1000.34,35.643,7,192.213,6.65333,1.09667,0.763333,0.16,1.50333,4.24924,1,139.615,35.7524,0
"2021-05-21 08:38:24",37,28.23,1000.28,35.716,6,189.61,6.63333,1.00333,0.696667,0.18,1.55333,3.62975,1,139.63,35.6525,0
"2021-05-21 08:43:24",37,28.24,1000.34,35.523,8,191.127,6.78333,1.13667,0.846667,0.173333,1.67333,2.40901,1,139.654,35.5276,0
"2021-05-21 08:48:24",37,28.25,1000.28,35.548,7,192.453,6.68,1.14,0.79,0.13,1.60333,2.44545,1,139.687,35.421,0
"2021-05-21 08:53:21",37,28.26,1000.23,35.512,7,189.657,6.59667,1.06333,0.633333,0.13,1.72333,2.08105,0,139.674,35.3582,0
"2021-05-21 08:58:24",37,28.26,1000.14,35.621,7,191.03,6.65667,1.08,0.69,0.153333,1.71333,2.60943,1,139.28,35.1752,0
"2021-05-21 09:03:24",37,28.25,1000.34,35.548,8,190.927,6.61,1.11333,0.74,0.15,1.63,1.89885,0,139.258,35.1391,0
"2021-05-21 09:08:24",37,28.26,1000.17,35.536,6,190.95,6.53,1.06333,0.75,0.143333,1.55333,2.09927,0,139.258,35.1391,0
"2021-05-21 09:13:24",37,28.28,1000.17,35.55,6,189.897,6.77333,1.07333,0.79,0.0933333,1.61,3.59331,0,139.262,36.1666,0
"2021-05-21 09:18:24",37,28.29,999.83,35.551,8,191.673,6.64,1.24667,0.76,0.163333,1.58667,4.10348,0,139.248,36.1669,0
"2021-05-21 09:23:24",37,28.33,999.61,35.723,8,191.66,6.60667,1.01667,0.806667,0.13,1.62667,6.27167,1,139.286,36.1789,0
"2021-05-21 09:28:23",37,28.38,999.55,35.497,7,190.5,6.45,1.14667,0.746667,0.193333,1.68,7.43775,1,139.405,36.1973,0
"2021-05-21 09:33:23",37,28.45,999.61,35.406,7,190.777,6.74,1.12333,0.89,0.14,1.49,9.56951,0,139.508,36.2145,0
"2021-05-21 09:38:24",37,28.54,999.36,35.413,6,188.92,6.36,1,0.723333,0.153333,1.74333,10.0614,1,139.642,36.2333,0
"2021-05-21 09:43:23",37,28.63,999.25,35.384,6,191.973,6.27667,1.08333,0.73,0.14,1.67,9.89747,1,139.613,36.2566,0
"2021-05-21 09:48:23",37,28.72,999.28,35.354,8,191.437,6.70333,1.10667,0.743333,0.156667,1.53333,9.86103,0,139.594,36.2172,0
"2021-05-21 09:53:24",37,28.82,999.22,35.302,7,189.197,6.89,1.09,0.706667,0.146667,1.69,10.5352,0,139.525,36.3356,0
"2021-05-21 09:58:24",37,28.91,999.17,35.285,7,191.817,6.41667,1.14667,0.766667,0.153333,1.74,10.5898,1,139.51,36.3196,0
"2021-05-21 10:03:22",37,29,999.39,35.279,7,191.41,6.54667,1.08,0.806667,0.18,1.50667,9.58772,1,139.514,36.2664,0
"2021-05-21 10:08:23",37,29.08,999.42,35.236,6,191.483,6.42333,1.11,0.783333,0.133333,1.65667,7.45597,1,139.612,35.7808,0
"2021-05-21 10:13:23",37,29.16,999.45,35.243,6,191.007,6.72,1.14,0.793333,0.163333,1.6,7.36487,1,139.612,35.7808,0
"2021-05-21 10:18:23",37,29.23,999.42,35.236,8,190.25,6.75,1.08,0.83,0.156667,1.66333,8.98646,1,139.612,35.7808,0
"2021-05-21 10:23:23",37,29.31,999.5,35.206,7,191.02,6.82667,1.20667,0.79,0.11,1.69333,9.18688,1,139.612,35.7808,0
"2021-05-21 10:28:23",37,29.39,999.64,35.212,7,190.13,6.70333,1.09333,0.72,0.13,1.64667,8.87714,1,139.612,35.7806,0
"2021-05-21 10:33:23",37,29.46,999.98,34.999,7,191.047,6.62,0.963333,0.706667,0.16,1.62333,6.43565,1,139.612,35.7809,0
"2021-05-21 10:38:23",37,29.51,1000.21,35.173,6,191.857,6.32333,1.02333,0.656667,0.143333,1.57667,6.80005,1,139.612,35.7808,0
"2021-05-21 10:43:23",37,29.55,1000.13,35.176,7,190.837,6.80333,1.12333,0.7,0.133333,1.68,9.3873,1,139.612,35.7808,0
"2021-05-21 10:48:23",37,29.58,1000.06,35.226,6,190.117,6.75667,1.16333,0.786667,0.15,1.62,8.9318,1,139.614,35.7688,0
"2021-05-21 10:53:23",37,29.54,999.87,35.26,7,190.267,6.84,1.09,0.713333,0.16,1.63333,8.3852,1,139.653,35.6724,0
"2021-05-21 10:58:23",37,29.5,999.7,35.306,8,189.6,6.33333,1.05333,0.693333,0.173333,1.58667,7.43775,1,139.61,35.7812,0
"2021-05-21 11:03:23",37,29.48,999.7,35.34,8,188.743,6.51333,1.06,0.7,0.133333,1.60333,7.07335,1,139.612,35.7808,0
"2021-05-21 11:08:23",37,29.44,999.59,35.362,6,187.507,6.55,1.05,0.723333,0.133333,1.66667,6.52675,1,139.612,35.7808,0
"2021-05-21 11:13:23",37,29.4,999.64,35.394,7,187.677,6.47667,1.07667,0.72,0.143333,1.71,6.56319,1,139.612,35.7807,0
"2021-05-21 11:18:23",37,29.35,999.64,35.415,6,188.573,6.48,1.07,0.793333,0.0933333,1.57,6.32633,1,139.612,35.7806,0
"2021-05-21 11:23:23",37,29.32,999.5,35.425,9,188.253,6.59333,0.986667,0.68,0.163333,1.66,5.88905,1,139.612,35.7809,0
"2021-05-21 11:28:21",37,29.3,999.31,35.375,7,188.76,6.73667,0.943333,0.776667,0.18,1.64333,6.38099,1,139.606,35.7768,0
"2021-05-21 11:33:23",37,29.3,999.25,35.423,6,187.363,6.24333,1.07,0.726667,0.126667,1.57333,6.05303,1,139.61,35.7709,0
"2021-05-21 11:38:23",37,29.27,999.06,35.3,6,188.957,6.5,1.04,0.75,0.136667,1.53,6.03481,1,139.612,35.7805,0
"2021-05-21 11:43:23",37,29.23,999.06,35.48,8,187.73,6.32667,1.02333,0.766667,0.166667,1.44,5.90727,1,139.612,35.7807,0
"2021-05-21 11:48:23",37,29.22,999.11,35.417,6,189.247,6.46667,1.07333,0.71,0.15,1.53333,7.03691,1,139.612,35.7806,0
"2021-05-21 11:53:23",37,29.23,998.81,35.418,6,191.157,6.50333,1.05,0.72,0.123333,1.63333,7.27377,1,139.612,35.7807,0
"2021-05-21 11:58:23",37,29.23,998.67,35.407,10,192.367,6.77667,1.11667,0.716667,0.146667,1.56667,6.80005,1,139.612,35.7804,0
"2021-05-21 12:03:23",37,29.22,998.32,35.26,8,190.8,6.42333,1.2,0.81,0.186667,1.75,7.00047,1,139.612,35.7805,0
"2021-05-21 12:08:23",37,29.21,998.13,35.405,7,190.723,6.65333,1.22667,0.726667,0.146667,1.71667,6.76361,1,139.612,35.7806,0
"2021-05-21 12:13:23",37,29.21,998.05,35.393,7,189.927,6.62667,0.996667,0.736667,0.186667,1.75333,7.14623,1,139.612,35.7803,0
"2021-05-21 12:18:23",37,29.21,998.02,35.405,7,190.417,6.88333,1.07333,0.793333,0.173333,1.59,7.83859,1,139.612,35.7805,0
"2021-05-21 12:23:23",37,29.26,998.1,35.348,7,190.673,6.49,1.03333,0.733333,0.126667,1.58,8.00258,1,139.612,35.7805,0
"2021-05-21 12:28:23",37,29.29,997.91,35.131,8,190.163,6.4,1.03333,0.713333,0.14,1.64333,10.1708,1,139.612,35.7789,0
"2021-05-21 12:33:23",37,29.34,997.8,35.305,6,189.573,6.48667,0.976667,0.823333,0.173333,1.69,10.2436,1,139.612,35.7137,0
"2021-05-21 12:38:23",37,29.37,997.69,35.332,9,189.86,6.52333,1.11333,0.803333,0.16,1.60333,8.51274,1,139.621,35.5709,0
"2021-05-21 12:43:23",37,29.4,997.44,35.285,8,188.443,6.56333,1.02,0.64,0.16,1.61667,7.85682,1,139.612,35.7807,0
"2021-05-21 12:48:23",37,29.43,997.46,35.494,7,189.533,6.62,1,0.73,0.143333,1.6,7.10979,1,139.612,35.7804,0
"2021-05-21 12:53:23",37,29.45,997.3,35.265,7,188.72,6.33333,1.03,0.743333,0.116667,1.64667,7.36487,1,139.612,35.7808,0
"2021-05-21 12:58:23",37,29.48,997.18,35.256,10,189.063,6.53,1.07,0.78,0.14,1.58667,7.8386,1,139.612,35.7807,0
"2021-05-21 13:03:23",37,29.51,997.05,35.246,6,187.317,6.53,1.06333,0.703333,0.133333,1.69,8.13012,1,139.612,35.7804,0
"2021-05-21 13:08:23",37,29.53,997.05,35.248,7,188.11,6.87667,1.02333,0.653333,0.183333,1.60667,8.6585,1,139.612,35.7806,0
"2021-05-21 13:13:23",37,29.56,997.1,35.031,7,188.793,6.45,1.06667,0.77,0.136667,1.77,8.6585,1,139.612,35.78,0
"2021-05-21 13:18:23",37,29.6,997.13,35.216,6,185.737,6.42667,1.17,0.733333,0.143333,1.65667,8.22122,1,139.612,35.7806,0
"2021-05-21 13:23:23",37,29.62,997.19,35.218,7,186.307,6.21667,0.923333,0.716667,0.16,1.77667,7.72927,1,139.612,35.7806,0
"2021-05-21 13:28:23",37,29.65,997.1,35.427,6,186.81,6.45,1.07667,0.726667,0.163333,1.60333,7.54707,1,139.612,35.7806,0
"2021-05-21 13:33:23",37,29.68,997.05,35.04,6,186.43,6.51333,1.04333,0.656667,0.12,1.62667,7.89326,1,139.612,35.7824,0
"2021-05-21 13:38:23",37,29.7,997.02,35.236,7,187.023,6.6,0.943333,0.75,0.11,1.58333,7.07335,1,139.612,35.7799,0
"2021-05-21 13:43:23",37,29.72,996.88,35.226,6,186.417,6.55,1.01667,0.743333,0.133333,1.62333,6.14413,1,139.613,35.7764,0
"2021-05-21 13:48:23",37,29.75,996.77,35.24,7,187.647,6.56667,1.04333,0.786667,0.173333,1.68,10.1343,1,139.612,35.7806,0
"2021-05-21 13:53:23",37,29.78,996.63,35.182,8,186.933,6.16,1.01,0.756667,0.163333,1.64667,12.011,1,139.612,35.7808,0
"2021-05-21 14:37:31",37,27.43,995.81,48.493,15,305.053,17.26,7.14667,4.14333,0.223333,1.68667,154.365,1,139.612,35.7805,0
"2021-05-21 14:42:31",37,27.39,995.72,47.199,19,347.667,18.1667,7.23667,4.18333,0.223333,1.68333,119.856,1,139.612,35.7806,0
"2021-05-21 14:47:31",37,27.22,995.56,47.387,11,572.707,16.5033,6.71,3.99667,0.29,1.71,232.784,1,139.612,35.7805,0
"2021-05-21 14:52:31",37,27.17,995.75,47.212,13,580.067,17.3767,6.95667,4.21,0.193333,1.78667,235.553,1,139.612,35.7805,0
"2021-05-21 14:57:31",37,27.13,995.86,46.173,12,575.943,16.8467,6.88,4.07667,0.226667,1.76333,237.521,1,139.612,35.7805,0
"2021-05-21 15:02:31",37,27.12,995.86,46.533,12,2186.76,36.4867,6.20667,3.83667,0.25,1.74667,234.241,1,139.612,35.7804,0
"2021-05-21 15:07:31",37,27.09,996.11,45.771,13,5023.69,74.39,7.15,3.77667,0.23,1.73,224.548,1,139.612,35.7804,0
"2021-05-21 15:12:31",37,27,996.14,45.594,13,4776.17,67.5567,7.43,3.99333,0.25,1.63667,224.858,1,139.612,35.7805,0
"2021-05-21 15:17:31",37,27.07,996.36,45.865,12,4712.68,66.4533,6.88667,3.85,0.26,1.68667,221.852,1,139.612,35.7805,0
"2021-05-21 15:22:31",37,27.34,996.08,44.628,10,2284.59,38.9233,6.99667,3.76,0.23,1.61667,8.16656,1,139.612,35.7805,0
"2021-05-21 15:27:31",37,27.85,995.97,43.398,11,313.933,16.6167,6.36667,3.91,0.243333,1.7,2.66409,1,139.612,35.7806,0
"2021-05-21 15:32:31",37,28.17,996.03,42.559,12,332.43,17.7367,7.16,4.16333,0.243333,1.61667,2.66409,1,139.612,35.7806,0
